slot,ref_tick,sz,shred_cnt
308015648,44,39310,41
308015648,49,35383,37
308015648,52,34739,36
308015648,55,34103,35
308015648,63,34272,36
308015648,0,4236,32
308015649,8,34760,36
308015649,12,34670,36
308015649,14,34088,35
308015649,17,33818,35
308015649,19,37327,39
308015649,22,35096,36
308015649,24,50332,52
308015649,25,34561,36
308015649,26,38870,40
308015649,28,38367,40
308015649,30,42925,45
308015649,32,42938,45
308015649,34,43770,45
308015649,36,37747,39
308015649,39,34748,36
308015649,42,36391,38
308015649,48,34079,35
308015649,55,34278,36
308015649,58,33882,35
308015649,62,35547,37
308015649,0,11899,32
308015650,8,34196,36
308015650,14,37647,39
308015650,17,39533,41
308015650,20,39533,41
308015650,24,49837,52
308015650,26,36320,38
308015650,27,36345,38
308015650,30,39481,41
308015650,32,33768,35
308015650,33,34458,36
308015650,36,39088,41
308015650,41,34564,36
308015650,50,34734,36
308015650,58,35228,37
308015650,0,22520,32
308015651,2,34277,36
308015651,8,34311,36
308015651,13,43186,45
308015651,15,35649,37
308015651,20,41416,43
308015651,24,40634,42
308015651,28,37707,39
308015651,33,38764,40
308015651,36,36770,38
308015651,40,35144,37
308015651,48,42248,44
308015651,49,40984,43
308015651,59,27860,28
308015651,0,615,32
308015652,2,33712,35
308015652,4,34621,36
308015652,6,46424,48
308015652,7,40976,43
308015652,8,53863,56
308015652,9,49133,51
308015652,9,43856,45
308015652,10,36590,38
308015652,10,35250,37
308015652,12,44426,46
308015652,12,47472,49
308015652,13,51730,54
308015652,14,50986,53
308015652,15,37390,39
308015652,16,36084,38
308015652,17,40111,42
308015652,18,34067,35
308015652,19,34070,35
308015652,21,34190,36
308015652,23,34945,36
308015652,25,34600,36
308015652,27,34212,36
308015652,28,33700,35
308015652,34,34500,36
308015652,43,12837,13
308015652,53,10588,11
308015652,63,488,1
308015652,0,56,32
308015653,1,34326,36
308015653,7,40115,42
308015653,9,34844,36
308015653,11,34248,36
308015653,13,34371,36
308015653,15,33637,35
308015653,16,33707,35
308015653,19,36867,38
308015653,20,34024,35
308015653,22,34377,36
308015653,26,37714,39
308015653,28,33870,35
308015653,33,34025,35
308015653,42,21811,22
308015653,52,488,1
308015653,62,11055,12
308015653,0,104,32
308015654,1,47285,49
308015654,2,47508,49
308015654,2,34394,36
308015654,3,51108,53
308015654,4,34131,36
308015654,5,50705,53
308015654,6,48964,51
308015654,7,42848,44
308015654,8,43556,45
308015654,9,42848,44
308015654,10,36492,38
308015654,10,44260,46
308015654,12,33970,35
308015654,15,34395,36
308015654,17,35095,36
308015654,18,34494,36
308015654,21,34463,36
308015654,23,34441,36
308015654,27,34154,36
308015654,31,33912,35
308015654,38,34574,36
